epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0802,1.59254,2.93488,1.53898,0.26898,0.28236,0.13197,0.05688,2.43458,2.86819,2.9321,0.0847,0.0017,0.0017
2,13.9703,1.69401,2.02217,1.66463,0.00594,0.76667,0.00567,0.00177,3.0566,inf,45.8632,0.0683834,0.00338345,0.00338345
3,17.9833,1.84593,2.05495,1.79397,0.00328,0.7,0.00314,0.00126,2.97554,inf,17.0156,0.051947,0.00494702,0.00494702
4,21.9329,1.76149,1.93814,1.75439,0.00094,0.26667,0.00108,0.00026,2.89195,inf,18.6928,0.0353907,0.00639071,0.00639071
5,25.7881,1.64519,1.85402,1.66706,0.00022,0.06667,0.00012,4e-05,3.10041,inf,20.2413,0.0187145,0.00771452,0.00771452
6,29.6489,1.66481,1.89691,1.65948,0.00105,0.3,0.00067,0.00025,2.75101,inf,6.85209,0.008335,0.008335,0.008335
7,33.2783,1.45662,1.53543,1.55795,0.18605,0.26667,0.13948,0.08508,1.85728,68.4738,2.49375,0.008002,0.008002,0.008002
8,37.1178,1.49778,1.65007,1.5679,0.08871,0.43333,0.20165,0.10599,1.76411,22.0124,2.02936,0.007669,0.007669,0.007669
9,41.2235,1.55743,1.71809,1.6083,0.16628,0.43333,0.26224,0.14506,1.51423,19.3726,1.63037,0.007336,0.007336,0.007336
10,44.9967,1.51955,1.68598,1.59302,0.35351,0.53333,0.43947,0.24667,1.61424,8.84577,1.82505,0.007003,0.007003,0.007003
11,48.5405,1.39213,1.49916,1.44798,0.48989,0.53333,0.51962,0.32295,1.50719,4.16694,1.58729,0.00667,0.00667,0.00667
12,52.0783,1.3518,1.43063,1.45311,0.55922,0.56667,0.50545,0.37049,1.47118,4.85865,1.50675,0.006337,0.006337,0.006337
13,55.4251,1.31206,1.41253,1.42246,0.41254,0.4,0.3038,0.16234,1.53954,3.59627,1.59031,0.006004,0.006004,0.006004
14,58.8595,1.26449,1.32015,1.36359,0.66387,0.53333,0.61447,0.38908,1.50832,2.16259,1.50717,0.005671,0.005671,0.005671
15,62.2054,1.26219,1.26289,1.34459,0.80115,0.7,0.76908,0.4253,1.56108,1.41962,1.54808,0.005338,0.005338,0.005338
16,65.7087,1.13475,1.14853,1.30656,0.73464,0.73333,0.75625,0.51473,1.27759,1.50874,1.31892,0.005005,0.005005,0.005005
17,69.0697,1.17555,1.19169,1.30352,0.80701,0.63333,0.7278,0.52127,1.2299,1.90419,1.35296,0.004672,0.004672,0.004672
18,72.5165,1.06668,1.05854,1.27334,0.76294,0.76667,0.78063,0.60878,1.21969,1.31968,1.23573,0.004339,0.004339,0.004339
19,75.9684,1.13243,1.02814,1.2526,0.67377,0.7,0.75614,0.5548,1.23155,1.36363,1.22475,0.004006,0.004006,0.004006
20,79.5603,1.0563,1.00341,1.22379,0.86553,0.85843,0.92436,0.73794,1.02295,1.06288,1.10544,0.003673,0.003673,0.003673
21,112.925,0.94574,1.0078,1.18833,0.99887,0.83333,0.90183,0.71995,1.00162,1.17748,1.09214,0.00334,0.00334,0.00334
22,116.23,0.89501,0.87386,1.13063,0.98178,0.76667,0.91558,0.70056,1.0059,0.94664,1.11515,0.003007,0.003007,0.003007
23,119.492,0.84242,0.77182,1.10256,0.97404,0.66667,0.79697,0.59252,1.12224,1.32851,1.2067,0.002674,0.002674,0.002674
24,122.838,0.83087,0.76536,1.11543,0.95937,0.78747,0.89422,0.71077,0.96361,1.09491,1.102,0.002341,0.002341,0.002341
25,126.097,0.79896,0.73842,1.06534,0.89967,0.89676,0.929,0.73768,0.90414,0.88203,1.03238,0.002008,0.002008,0.002008
26,129.431,0.81884,0.7422,1.0846,0.81477,0.87996,0.91916,0.73723,0.86192,0.81905,0.9941,0.001675,0.001675,0.001675
27,132.807,0.76008,0.66016,1.07686,0.92584,0.86667,0.92682,0.74449,0.86104,0.72341,0.98997,0.001342,0.001342,0.001342
28,136.108,0.72873,0.6583,1.01902,0.92847,0.9,0.94272,0.74968,0.94156,0.72038,1.03724,0.001009,0.001009,0.001009
29,139.552,0.73875,0.64045,1.02456,0.86481,0.9,0.92845,0.74083,0.89469,0.70101,0.99553,0.000676,0.000676,0.000676
30,142.885,0.68996,0.59484,1.02416,0.95141,0.93333,0.95229,0.75571,0.86333,0.71949,0.98717,0.000343,0.000343,0.000343
