epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,173.871,0.92183,0.77413,1.15379,0.9332,0.7,0.8271,0.59597,1.0877,1.06347,1.22048,0.0059041,0.0059041,0.0059041
43,178.139,0.88339,0.75524,1.12137,0.87726,0.83333,0.87303,0.6858,0.98148,0.94132,1.1723,0.0058042,0.0058042,0.0058042
44,182.481,0.8799,0.75067,1.12635,0.8209,0.73333,0.85198,0.62673,1.04073,0.98627,1.1811,0.0057043,0.0057043,0.0057043
45,186.544,0.84252,0.70628,1.1023,0.94182,0.76667,0.89395,0.66474,0.94192,0.91705,1.08864,0.0056044,0.0056044,0.0056044
46,190.606,0.86468,0.7337,1.08812,0.96984,0.86667,0.90181,0.6987,1.00455,0.90548,1.10698,0.0055045,0.0055045,0.0055045
47,194.334,0.83162,0.71921,1.08127,0.91981,0.83333,0.86446,0.70991,0.96108,0.88438,1.09516,0.0054046,0.0054046,0.0054046
48,198.071,0.80507,0.69232,1.08125,0.98579,0.8,0.91343,0.70971,0.85373,0.79952,1.00621,0.0053047,0.0053047,0.0053047
49,201.816,0.88501,0.76824,1.13157,1,0.82484,0.93217,0.7222,0.8834,0.77304,1.02315,0.0052048,0.0052048,0.0052048
50,205.488,0.80224,0.68627,1.06596,0.95846,0.86667,0.93904,0.71778,0.95187,0.7308,1.12896,0.0051049,0.0051049,0.0051049
51,209.292,0.80763,0.70001,1.08161,0.92723,0.8498,0.91644,0.70071,0.87232,0.93311,1.02116,0.005005,0.005005,0.005005
52,213.023,0.78672,0.68739,1.06612,0.86724,0.87107,0.8918,0.65139,0.98188,1.01224,1.11268,0.0049051,0.0049051,0.0049051
53,216.651,0.80541,0.66335,1.07973,0.76635,0.76535,0.78341,0.6125,0.99415,1.30576,1.09106,0.0048052,0.0048052,0.0048052
54,220.49,0.76077,0.63693,1.06246,0.92851,0.86587,0.94344,0.78813,0.78684,0.73553,0.97127,0.0047053,0.0047053,0.0047053
55,224.431,0.7207,0.59479,1.03651,0.99972,0.83333,0.94242,0.72773,0.9015,0.76077,1.04701,0.0046054,0.0046054,0.0046054
56,228.216,0.75376,0.61543,1.04488,0.95545,0.9,0.95859,0.74527,0.83985,0.67236,0.97746,0.0045055,0.0045055,0.0045055
57,232.016,0.77388,0.64918,1.05745,0.96092,0.81984,0.89729,0.67366,0.87518,0.91122,1.03201,0.0044056,0.0044056,0.0044056
58,235.957,0.77758,0.64953,1.04167,0.89061,0.81446,0.88831,0.71828,0.86522,0.91092,0.99951,0.0043057,0.0043057,0.0043057
59,239.704,0.72497,0.59916,1.04248,0.95536,0.86667,0.92022,0.74825,0.78555,0.71075,0.94867,0.0042058,0.0042058,0.0042058
60,243.621,0.73555,0.60022,1.03954,0.92757,0.93333,0.94978,0.77477,0.74971,0.64428,0.91452,0.0041059,0.0041059,0.0041059
